Address,COUNTA of Address,ADM3_EN,ADM2_EN,ADM1_EN
"JIRI,PATIYA,CTG",6,Patiya,Chittagong,Chittagong
JORARGANJ CTG,6,Ramganj,Lakshmipur,Chittagong
"KALAPANIA,SANDWIP,CTG",6,Unknown,Unknown,Unknown
"KHAJA ROAD,CHANDGAO,CTG",6,Chandgaon,Chittagong,Chittagong
"KOSHBA,B-BARIA",6,Unknown,Unknown,Unknown
"LALKHAN BAZAR,KHULSHI,CTG",6,Unknown,Unknown,Unknown
"MANIKCHARI,KHAGRACHAR I",6,Manikchhari,Khagrachhari,Chittagong
"MORIUMNAGAR,RANGUNIA, CTG",6,Rangunia,Chittagong,Chittagong
"NOBINAGAR,B-BARIA",6,Unknown,Unknown,Unknown
"NORTH KATTOLI,AKBARSHAH,CTG",6,Unknown,Unknown,Unknown
"NORTH MADARSHA,HATHAZARI,CTG",6,Hathazari,Chittagong,Chittagong
"PADUA,RANGUNIA,CTG",6,Rangunia,Chittagong,Chittagong
"RAHMATPUR,SANDWIP,CTG",6,Sandwip,Chittagong,Chittagong
"SHILOK,RANGUNIA,CTG",6,Rangunia,Chittagong,Chittagong
"SONAIMURI,NOAKHALI",6,Sonaimuri,Noakhali,Chittagong
"SORAIPARA,PAHARTOLI,CTG",6,Pahartali,Chittagong,Chittagong
"TECNAF,COX'SBAZAR",6,Teknaf,Cox's Bazar,Chittagong
"VATIYARI, SITAKUNDA, CTG",6,Sitakunda,Chittagong,Chittagong
"AGRABAD,DOUBLE MURING,CTG",5,Double Mooring,Chittagong,Chittagong
"ASHIYA,PATIYA,CTG",5,Patiya,Chittagong,Chittagong
"BAKOLIA, CTG",5,Bakalia,Chittagong,Chittagong
"BAKOLIA,CTG.",5,Bakalia,Chittagong,Chittagong
BANDAR CTG,5,Bandar,Narayanganj,Dhaka
"BANSHKHALI,CTG.",5,Banshkhali,Chittagong,Chittagong
BANSKHALI. CTG,5,Bangshal,Dhaka,Dhaka
"BAWRIA,SANDIP,CTG.",5,Sandwip,Chittagong,Chittagong
BHUJPUR CTG,5,Bhuapur,Tangail,Dhaka
"BOTTOLI,ANOWARA,CTG",5,Anowara,Chittagong,Chittagong
"BURUMCHARA,ANOWARA,C TG",5,Anowara,Chittagong,Chittagong
"BYZID, CTG",5,Unknown,Unknown,Unknown
"CHANDANISH, CTG",5,Chandanaish,Chittagong,Chittagong
CHANDGAON. CTG,5,Chandgaon,Chittagong,Chittagong
"CHARANDWIP,BOALKHALI, CTG",5,Boalkhali,Chittagong,Chittagong
"CHODDOGRAM,CUMILLA",5,Unknown,Unknown,Unknown
COMPANIGANJ NOAKHALI,5,Companiganj,Noakhali,Chittagong
"DAGONBHUIYAN,FENI",5,Feni Sadar,Feni,Chittagong
"DEVIDAR,CUMILLA",5,Unknown,Unknown,Unknown
"DHARMAPUR,FATIKCHARI, CTG",5,Fatikchhari,Chittagong,Chittagong
"DHOLOI,HATHAZARI,CTG",5,Hathazari,Chittagong,Chittagong
DOUBLEMURING CTG,5,Double Mooring,Chittagong,Chittagong
"FULGAZI,FENI",5,Fulgazi,Feni,Chittagong
"HARAMIYA,SANDWIP,CTG",5,Sandwip,Chittagong,Chittagong
"JOLDI,BANSHKHALI,CTG",5,Banshkhali,Chittagong,Chittagong
"JORARGANJ, CTG",5,Ramganj,Lakshmipur,Chittagong
"KHARNAFULI,CTG",5,Unknown,Unknown,Unknown
KOTOWALI CTG,5,Kotwali,Chittagong,Chittagong
"KUTUBDIA,COX'SBAZAR",5,Kutubdia,Cox's Bazar,Chittagong
"LAKSHAM,CUMILLA",5,Laksam,Comilla,Chittagong
MIRARSHORI. CTG,5,Unknown,Unknown,Unknown
"MOSAJIDDA,SITAKUNDA,CTG",5,Sitakunda,Chittagong,Chittagong
"MUSAPUR,OSMANIA,SAND WIP,CTG",5,Sandwip,Chittagong,Chittagong
"MUSAPUR,SANDIP,CTG.",5,Sandwip,Chittagong,Chittagong
"NABINAGAR,B-BARIA",5,Unknown,Unknown,Unknown
"NAZIRHAT,FATIKCHARI,CTG",5,Fatikchhari,Chittagong,Chittagong
PACHLAISH CTG,5,Panchlaish,Chittagong,Chittagong
"PATIA, CTG",5,Patiya,Chittagong,Chittagong
"PATIYA, CTG.",5,Patiya,Chittagong,Chittagong
RANGAMATI,5,Rangamati Sadar,Rangamati,Chittagong
"RANGUNIA, CTG.",5,Rangunia,Chittagong,Chittagong
SADAR COX'S BAZAR,5,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"SAWNDIP, CTG",5,Sandwip,Chittagong,Chittagong
"SHAHNAGAR,FATIKCHARI,C TG",5,Fatikchhari,Chittagong,Chittagong
"SORAIPARA, PAHARTALI, CTG",5,Pahartali,Chittagong,Chittagong
"SOUTH SOLIMPUR,JAFARABAD,SIT AKUNDA,CTG",5,Sitakunda,Chittagong,Chittagong
"SULTANPUR,RAOZAN,CTG",5,Raozan,Chittagong,Chittagong
"VATIARI,SITAKUND,CTG.",5,Sitakunda,Chittagong,Chittagong
"VATIARY,SITAKUNDA,CTG",5,Sitakunda,Chittagong,Chittagong
"AKBORSHAH,CTG.",4,Porsha,Naogaon,Rajshahi
"AMIRABAD,LOHAGARA,CTG",4,Lohagara,Chittagong,Chittagong
"ANANDIPUR,HALISHAHAR,C TG",4,Halishahar,Chittagong,Chittagong
BAGURA,4,Magura Sadar,Magura,Khulna
BAKOLIA CTG,4,Bakalia,Chittagong,Chittagong
"BARURA,CUMILLA",4,Barura,Comilla,Chittagong
BAYZID. CTG,4,Unknown,Unknown,Unknown
"BOALKHALI,CTG.",4,Boalkhali,Chittagong,Chittagong
"BOILTOLI,CHANDONAISH,C TG",4,Chandanaish,Chittagong,Chittagong
"BURISHCHAR,NUR ALI BARI,HATHAZARI,CTG",4,Hathazari,Chittagong,Chittagong
"CHADDOGRAM,CUMILLA",4,Chauddagram,Comilla,Chittagong
"CHAGALNAIYA,FENI",4,Feni Sadar,Feni,Chittagong
"CHAPACHARI,BANSHKHALI, CTG",4,Banshkhali,Chittagong,Chittagong
"CHARKANAI,PATIYA,CTG",4,Ramna,Dhaka,Dhaka
"CHODDUGRAM,CUMILLA",4,Unknown,Unknown,Unknown
DAGUNBHUIYA FENI,4,Feni Sadar,Feni,Chittagong
DAMPARA CTG,4,Atpara,Netrakona,Mymensingh
"DEWANHAT,DOUBLE MURING,CTG",4,Double Mooring,Chittagong,Chittagong
"DEWANPUR,RAOZAN,CTG",4,Raozan,Chittagong,Chittagong
"DHURUNG,FATIKCHARI,CTG",4,Fatikchhari,Chittagong,Chittagong
"DOULATPUR,NAZIRHAT,FA TIKCHARI,CTG",4,Fatikchhari,Chittagong,Chittagong
"FATEHPUR,HATHAZARI,CTG",4,Hathazari,Chittagong,Chittagong
"FOIZDERHAT,SITAKUND,CTG.",4,Sitakunda,Chittagong,Chittagong
"HALISAHAR,CTG.",4,Halishahar,Chittagong,Chittagong
"HAMZARBAG,PANCHLAISH, CTG",4,Panchlaish,Chittagong,Chittagong
"HAZIGANJ,CHANDPUR",4,Hajiganj,Chandpur,Chittagong
"HAZIGONJ,CHANDPUR",4,Unknown,Unknown,Unknown
"JHAOTOLA, KHULSHI, CTG",4,Khulshi,Chittagong,Chittagong
"KABIRHAT,NOAKHALI",4,Kabirhat,Noakhali,Chittagong
"KALA MIA BAZAR,BAKALIA,CTG",4,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"KARNAFULLY,CTG.",4,Unknown,Unknown,Unknown
"KATIRHAT,HATHAZARI,CTG",4,Hathazari,Chittagong,Chittagong
KHULSHI. CTG,4,Khulshi,Chittagong,Chittagong
"KOTOALI,CTG.",4,Kotwali,Chittagong,Chittagong
"KUYAISH,HATHAZARI,CTG",4,Hathazari,Chittagong,Chittagong
"LAL KHAN BAZAR,KHULSHI,CTG",4,Cox's Bazar Sadar,Cox's Bazar,Chittagong
"LAMA,BANDARBAN",4,Lama,Bandarban,Chittagong
"MAITBHANGA,SHIBERHAT,S ANDWIP,CTG",4,Cox's Bazar Sadar,Cox's Bazar,Chittagong
MIRSARAI CTG,4,Sarail,Brahamanbaria,Chittagong
"MIRZAPUR,HATHAZARI,CTG",4,Hathazari,Chittagong,Chittagong
"MOHAMMADPUR,CHANDON AISH,CTG",4,Mohammadpur,Dhaka,Dhaka
"MOHESKHALI,COX'SBAZAR",4,Maheshkhali,Cox's Bazar,Chittagong
"MOHESKHALI,COXS BAZAR",4,Maheshkhali,Cox's Bazar,Chittagong
"MORALGANJ,BAGERHAT",4,Morrelganj,Bagerhat,Khulna
"MORIUM NAGAR,RANGUNIA,CTG",4,Rangunia,Chittagong,Chittagong
"MULADI,BARISHAL",4,Muladi,Barisal,Barisal
"NEW MONSURABAD,AKBARSHAH ,CTG",4,New Market,Dhaka,Dhaka
"NOAPARA,RAOZAN,CTG",4,Raozan,Chittagong,Chittagong
"NORTH KATTOLI,CORNELHAT,PAH ARTOLI,CTG",4,Pahartali,Chittagong,Chittagong
"PATHARGHATA,KOTOWALI, CTG",4,Patharghata,Barguna,Barisal
PEKUA COX'S BAZAR,4,Pekua,Cox's Bazar,Chittagong
RAMGOTI LUXMIPUR,4,Mirpur,Dhaka,Dhaka
RANGPUR,4,Rangpur Sadar,Rangpur,Rangpur
"S,KATTOLI,PAHARTOLI,CTG",4,Unknown,Unknown,Unknown
"SADAR,BHULA",4,Bhola Sadar,Bhola,Barisal
"SADAR,CUMILLA",4,Comilla Adarsha Sadar,Comilla,Chittagong
"SADAR,LAXMIPUR",4,Madaripur Sadar,Madaripur,Dhaka
"SADARGAT,CTG",4,Savar,Dhaka,Dhaka
"SADEKNAGAR,FATIKCHARI, CTG",4,Fatikchhari,Chittagong,Chittagong
"SARAFVATA,RANGUNIA,CTG.",4,Rangunia,Chittagong,Chittagong
"SARAIPARA,PAHARTOLI,CTG.",4,Pahartali,Chittagong,Chittagong
SATKANIA. CTG,4,Satkania,Chittagong,Chittagong
